Mood,Dish,Age-Group,Gender,Rating
Happy,Coconut dhal,19-24,Male,3
Bored,Palak paneer,19-24,Male,5
Angry,Thai red fish curry,19-24,Male,2
Happy,Coconut dhal,19-24,Male,4
Happy,Coconut dhal,19-24,Male,1
Happy,Spiced scrambled eggs,19-24,Male,4
Happy,Red pepper and spinach hash,19-24,Male,2
Happy,Red pepper and spinach hash,19-24,Male,2
Happy,Traybaked eggs,19-24,Male,3
Happy,Coconut dhal,19-24,Female,3
Sad,Strawberry gummy snacks,19-24,Male,4
Sad,Pancakes with bananas and ice cream,19-24,Male,4
Happy,Honey cake,19-24,Male,3
Happy,Spiced scrambled eggs,19-24,Male,2
Happy,Dark chocolate and pomegranate tart,19-24,Male,4
Sad,Breakfast banana bread,25-30,Male,3
Sad,Raw chocolate brownies,25-30,Male,4
Sad,Peppered mackerel spaghetti,25-30,Male,2
Sad,"Peanut butter, banana and spinach smoothie",25-30,Male,3
Sad,Garlic butter roast potatoes,25-30,Male,4
Sad,'Glast-home-berry' banana split,25-30,Male,4
Happy,Creamy avocado pasta,13-18,Male,4
Happy,Honey cake,13-18,Male,5
Happy,Eggs Florentine,13-18,Male,5
Angry,Mango and passion fruit lassi,31-36,Male,4
Angry,Coconut ladoo,31-36,Male,3
Angry,Easy herb-crusted fish,31-36,Male,2
Angry,Coconut and spinach salmon curry,31-36,Male,5
Angry,One-pot tomato pasta,31-36,Male,2
Angry,"Potato, cauliflower and spinach tikka masala",31-36,Male,4
Angry,"Baked goat's cheese with grape, walnut and beetroot salad",31-36,Male,3
Angry,"Kashmiri chilli, garlic and roasted tomato tagliatelle",31-36,Male,4
Angry,Karen's mum's Sri Lankan potato curry,31-36,Male,2
Angry,Sweet potato and spinach curry,31-36,Male,3
Angry,Sweet potato and spinach curry,31-36,Male,2
Angry,"Chocolate, orange and almond biscotti",43-above,Male,5
Angry,Bacon-wrapped fish with creamy lentils,43-above,Male,5
Angry,"Leek, gorgonzola and walnut spaghetti",43-above,Male,4
Sad,"Pomegranate, ricotta and walnut spaghetti",19-24,Male,5
Sad,"Sticky date, ginger and sherry toffee pudding",19-24,Male,5
Sad,Sesame banana fritters,19-24,Male,1
Sad,"Baked goat's cheese with grape, walnut and beetroot salad",19-24,Male,1
Sad,"Baked goat's cheese with grape, walnut and beetroot salad",19-24,Male,1
Sad,"Garlic, herb and lemon seasoning",19-24,Male,1
Sad,Chocolate marbled meringues,19-24,Male,3
Sad,Salted caramel chocolate pots,19-24,Male,5
Happy,Chocolate and raspberry fudge cake,19-24,Male,4
Happy,Frozen grapes and melty chocolate,19-24,Male,3
Happy,Sundried tomato and spinach pasta,19-24,Male,5
Bored,Vegan meringues topped with exotic fruits,19-24,Male,4
Bored,Spicy corn and chickpea burgers,19-24,Male,4
Bored,Fruity yogurt cups,19-24,Male,5
Bored,Italian-style stuffed peppers,19-24,Male,2
Sad,Coffee and walnut cake,25-30,Male,5
Sad,No-churn chocolate ice cream,25-30,Male,4
Sad,"Strawberry, lemongrass and ginger spritz",25-30,Male,3
Sad,"Strawberry, lemongrass and ginger spritz",25-30,Male,3
Happy,Honey cheesecake with berries,43-above,Male,4
Happy,Personalised chocolate hearts,19-24,Female,4
Happy,Personalised chocolate hearts,19-24,Female,4
Happy,Personalised chocolate hearts,19-24,Female,4
Happy,Personalised chocolate hearts,19-24,Female,4
Happy,Personalised chocolate hearts,19-24,Female,4
